Rank,Name,Industry, Revenue (USD millions) ,Revenue growth,Employees,Headquarters,
1,Walmart,General merchandisers," $5,72,754.00 ",2.40%,"23,00,000","Bentonville, Arkansas",
2,Amazon,Retail and Cloud Computing," $4,69,822.00 ",21.70%,"16,08,000","Seattle, Washington",
3,Apple,Electronics industry," $3,65,817.00 ",33.20%,"1,54,000","Cupertino, California",
4,CVS Health,Healthcare," $2,92,111.00 ",32.00%,"2,58,000","Woonsocket, Rhode Island",
5,UnitedHealth Group,Healthcare," $2,87,597.00 ",11.80%,"3,50,000","Minnetonka, Minnesota",
6,Exxon Mobil,Petroleum industry," $2,85,640.00 ",57.40%,"63,000","Spring, Texas",
7,Berkshire Hathaway,Conglomerate," $2,76,094.00 ",12.50%,"3,72,000","Omaha, Nebraska",
8,Alphabet,Technology," $2,57,637.00 ",41.20%,"1,56,000","Mountain View, California",
9,McKesson Corporation,Health," $2,38,228.00 ",3.10%,"67,500","Irving, Texas",
10,AmerisourceBergen,Pharmaceutical industry," $2,13,989.00 ",12.70%,"40,000","Chesterbrook, Pennsylvania",
11,Microsoft,Technology," $1,98,087.00 ",17.50%,"1,81,000","Redmond, Washington",
12,Costco,Retail," $1,95,929.00 ",17.50%,"2,88,000","Issaquah, Washington",
13,Cigna,Health Insurance," $1,74,078.00 ",8.50%,"72,963","Bloomfield, Connecticut",
14,AT&T,Conglomerate," $1,68,864.00 ",1.70%,"2,02,600","Dallas, Texas",
15,Cardinal Health,Healthcare," $1,62,467.00 ",6.20%,"46,827","Dublin, Ohio",
16,Chevron Corporation,Petroleum industry," $1,62,465.00 ",71.60%,"42,595","San Ramon, California",
17,The Home Depot,Retail," $1,51,157.00 ",14.40%,"4,90,600","Atlanta, Georgia",
18,Walgreens Boots Alliance,Pharmaceutical industry," $1,48,579.00 ",6.50%,"2,58,500","Deerfield, Illinois",
19,Marathon Petroleum,Petroleum industry," $1,41,032.00 ",58.50%,"17,700","Findlay, Ohio",
20,Elevance Health,Healthcare," $1,38,639.00 ",13.80%,"98,200","Indianapolis, Indiana",
21,Kroger,Retail," $1,37,888.00 ",4.10%,"4,20,000","Cincinnati, Ohio",
22,Ford Motor Company,Automotive industry," $1,36,341.00 ",7.20%,"1,83,000","Dearborn, Michigan",
23,Verizon Communications,Telecommunications," $1,33,613.00 ",4.10%,"1,18,400","New York City, New York",
24,JPMorgan Chase,Financial services," $1,27,202.00 ",1.80%,"2,71,025","New York City, New York",
25,General Motors,Automotive," $1,27,004.00 ",3.70%,"1,57,000","Detroit, Michigan",
